Event_Number;Ini_E[MeV];Ini_X[cm];Ini_Y[cm];Ini_Z[cm];Ini_Theta;Ini_Phi;Number_of_hits
3;-31.5;-6.05;-96.9;572.954;;;
2;6.3;-6.05;-134.8;292.607;;;
3;-6.3;6.05;-96.9;422.041;;;
68;100.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;113.025;;;
69;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;117.302;;;
2;6.3;6.05;-134.8;306.211;;;
3;6.3;6.05;-96.9;47.167;;;
4;18.9;30.25;-13.2;878.505;;;
70;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;109.507;;;
2;6.3;-6.05;-134.8;310.839;;;
3;6.3;-6.05;-96.9;447.337;;;
4;6.3;-6.05;-13.2;746.243;;;
71;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.169;;;
2;6.3;6.05;-134.8;301.551;;;
3;6.3;6.05;-96.9;441.884;;;
72;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.298;;;
3;-6.3;-6.05;-96.9;444.652;;;
4;31.5;18.15;-13.2;888.347;;;
2;6.3;6.05;-134.8;293.752;;;
73;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;112.448;;;
2;6.3;-6.05;-134.8;302.791;;;
3;44.1;6.05;-96.9;728.672;;;
4;18.9;-6.05;-13.2;789.354;;;
74;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;121.817;;;
3;6.3;-6.05;-96.9;452.667;;;
4;18.9;-6.05;-13.2;83.322;;;
75;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;108.933;;;
2;-6.3;6.05;-134.8;301.716;;;
3;6.3;6.05;-96.9;438.689;;;
4;6.3;6.05;-13.2;763.768;;;
76;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;112.225;;;
3;6.3;-6.05;-96.9;413.544;;;
77;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;118.942;;;
2;-6.3;6.05;-134.8;295.482;;;
3;-6.3;6.05;-96.9;444.887;;;
4;-18.9;6.05;-13.2;765.827;;;
78;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;11.443;;;
2;-6.3;-6.05;-134.8;288.559;;;
3;-6.3;-6.05;-96.9;419.208;;;
4;6.3;-6.05;-13.2;753.729;;;
79;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;106.378;;;
2;6.3;6.05;-134.8;30.875;;;
3;6.3;6.05;-96.9;468.632;;;
4;18.9;6.05;-13.2;821.228;;;
80;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;115.229;;;
4;18.9;6.05;-13.2;782.574;;;
81;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;10.477;;;
3;-6.3;-6.05;-96.9;42.059;;;
4;-6.3;6.05;-13.2;705.701;;;
82;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;116.602;;;
3;6.3;6.05;-96.9;454.483;;;
83;100.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;121.253;;;
84;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;112.814;;;
3;-6.3;6.05;-96.9;424.219;;;
4;-6.3;6.05;-13.2;739.553;;;
85;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;106.898;;;
2;-6.3;6.05;-134.8;299.089;;;
3;-6.3;6.05;-96.9;442.921;;;
4;-6.3;18.15;-13.2;784.511;;;
86;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;114.235;;;
3;-44.1;-6.05;-96.9;696.093;;;
3;-6.3;6.05;-96.9;429.732;;;
4;-6.3;18.15;-13.2;8.033;;;
4;6.3;18.15;-13.2;786.553;;;
87;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;108.189;;;
3;-6.3;6.05;-96.9;428.417;;;
4;-6.3;6.05;-13.2;750.205;;;
88;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;115.734;;;
4;-6.3;-6.05;-13.2;697.041;;;
89;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;117.521;;;
2;-6.3;6.05;-134.8;304.217;;;
3;-6.3;6.05;-96.9;444.667;;;
4;-6.3;6.05;-13.2;726.637;;;
90;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;116.117;;;
2;6.3;6.05;-134.8;313.179;;;
3;18.9;-6.05;-96.9;482.354;;;
4;31.5;-6.05;-13.2;877.916;;;
4;6.3;6.05;-13.2;756.809;;;
91;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;111.913;;;
3;-6.3;-6.05;-96.9;41.996;;;
4;-6.3;-6.05;-13.2;751.798;;;
92;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;112.355;;;
2;6.3;6.05;-134.8;296.715;;;
4;18.9;-6.05;-13.2;801.731;;;
4;18.9;6.05;-13.2;797.045;;;
93;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.018;;;
2;6.3;-6.05;-134.8;302.569;;;
3;6.3;-6.05;-96.9;445.994;;;
4;6.3;-6.05;-13.2;732.635;;;
94;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.771;;;
2;6.3;6.05;-134.8;289.216;;;
3;-6.3;6.05;-96.9;429.085;;;
4;-18.9;6.05;-13.2;761.104;;;
95;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;11.453;;;
3;-6.3;6.05;-96.9;44.691;;;
96;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;105.386;;;
2;-6.3;-6.05;-134.8;292.137;;;
3;-6.3;-6.05;-96.9;446.256;;;
4;-18.9;-6.05;-13.2;759.391;;;
97;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;121.929;;;
2;6.3;6.05;-134.8;285.243;;;
3;-6.3;6.05;-96.9;418.955;;;
4;6.3;6.05;-13.2;717.851;;;
98;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.214;;;
2;6.3;6.05;-134.8;305.308;;;
3;6.3;6.05;-96.9;456.667;;;
4;6.3;18.15;-13.2;771.779;;;
99;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;112.957;;;
2;-6.3;-6.05;-134.8;292.118;;;
3;-6.3;-6.05;-96.9;417.832;;;
4;-6.3;-18.15;-13.2;783.458;;;
100;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;112.116;;;
2;6.3;-6.05;-134.8;296.371;;;
3;6.3;-6.05;-96.9;434.625;;;
1;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;116.614;;;
2;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;100.586;;;
3;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;105.426;;;
4;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;110.828;;;
5;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;11.411;;;
6;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;108.729;;;
7;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;116.462;;;
8;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;115.169;;;
9;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;113.288;;;
10;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;116.544;;;
11;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;115.331;;;
12;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;114.193;;;
13;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;106.222;;;
14;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;122.009;;;
15;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;113.954;;;
16;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
1;6.3;6.05;-187.3;110.955;;;
17;10.0;1.0;1.0;-220.0;0.0;0.0;1.0
