,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
186,1,6.3,6.05,-187.3,113.935,,,finHit
187,2,-6.3,6.05,-134.8,287.472,,,finHit
188,3,-6.3,6.05,-96.9,424.801,,,finHit
189,4,31.5,6.05,-13.2,836.831,,,finHit
190,43,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
191,1,6.3,6.05,-187.3,11.272,,,finHit
192,3,-6.3,-6.05,-96.9,430.125,,,finHit
193,4,-18.9,-18.15,-13.2,867.838,,,finHit
194,44,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
195,1,6.3,6.05,-187.3,11.088,,,finHit
196,2,-6.3,6.05,-134.8,295.778,,,finHit
197,3,-6.3,6.05,-96.9,457.621,,,finHit
198,45,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
199,1,6.3,6.05,-187.3,11.014,,,finHit
200,2,-6.3,-6.05,-134.8,280.741,,,finHit
201,3,6.3,-6.05,-96.9,455.453,,,finHit
202,4,31.5,6.05,-13.2,865.827,,,finHit
203,46,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
204,1,6.3,6.05,-187.3,113.764,,,finHit
205,2,6.3,-6.05,-134.8,29.473,,,finHit
206,3,6.3,-6.05,-96.9,457.295,,,finHit
207,4,18.9,-18.15,-13.2,813.684,,,finHit
208,47,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
209,1,6.3,6.05,-187.3,11.859,,,finHit
210,2,6.3,6.05,-134.8,305.119,,,finHit
211,3,6.3,6.05,-96.9,428.865,,,finHit
212,4,6.3,-6.05,-13.2,738.108,,,finHit
213,48,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
214,1,6.3,6.05,-187.3,109.236,,,finHit
215,3,-6.3,6.05,-96.9,433.344,,,finHit
216,4,-6.3,6.05,-13.2,756.569,,,finHit
217,4,-6.3,-6.05,-13.2,738.256,,,finHit
218,49,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
219,1,6.3,6.05,-187.3,108.727,,,finHit
220,2,6.3,6.05,-134.8,307.348,,,finHit
221,3,6.3,6.05,-96.9,474.331,,,finHit
222,50,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
223,1,6.3,6.05,-187.3,112.541,,,finHit
224,2,6.3,-6.05,-134.8,286.639,,,finHit
225,3,6.3,-6.05,-96.9,426.098,,,finHit
226,4,6.3,6.05,-13.2,739.318,,,finHit
227,51,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
228,1,6.3,6.05,-187.3,118.915,,,finHit
229,2,6.3,6.05,-134.8,296.781,,,finHit
230,4,6.3,-6.05,-13.2,72.627,,,finHit
231,52,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
232,1,6.3,6.05,-187.3,124.331,,,finHit
233,4,-6.3,-6.05,-13.2,707.511,,,finHit
234,53,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
235,1,6.3,6.05,-187.3,104.656,,,finHit
236,2,6.3,-6.05,-134.8,323.141,,,finHit
237,54,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
238,1,6.3,6.05,-187.3,109.667,,,finHit
239,3,6.3,-6.05,-96.9,460.169,,,finHit
240,4,6.3,-30.25,-13.2,867.981,,,finHit
241,2,6.3,-6.05,-134.8,296.487,,,finHit
242,3,44.1,-6.05,-96.9,702.455,,,finHit
243,55,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
244,1,6.3,6.05,-187.3,116.565,,,finHit
245,2,-6.3,6.05,-134.8,329.457,,,finHit
246,3,-18.9,6.05,-96.9,50.095,,,finHit
247,4,-31.5,18.15,-13.2,914.609,,,finHit
248,4,-6.3,18.15,-13.2,780.057,,,finHit
249,56,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
250,1,6.3,6.05,-187.3,112.643,,,finHit
251,2,-6.3,-6.05,-134.8,324.698,,,finHit
252,3,-6.3,-6.05,-96.9,488.732,,,finHit
