,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
227,51,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
228,1,6.3,6.05,-187.3,118.915,,,
229,2,6.3,6.05,-134.8,296.781,,,
230,4,6.3,-6.05,-13.2,72.627,,,
231,52,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
232,1,6.3,6.05,-187.3,124.331,,,
233,4,-6.3,-6.05,-13.2,707.511,,,
234,53,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
235,1,6.3,6.05,-187.3,104.656,,,
236,2,6.3,-6.05,-134.8,323.141,,,
237,54,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
238,1,6.3,6.05,-187.3,109.667,,,
239,3,6.3,-6.05,-96.9,460.169,,,
240,4,6.3,-30.25,-13.2,867.981,,,
241,2,6.3,-6.05,-134.8,296.487,,,
242,3,44.1,-6.05,-96.9,702.455,,,
243,55,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
244,1,6.3,6.05,-187.3,116.565,,,
245,2,-6.3,6.05,-134.8,329.457,,,
246,3,-18.9,6.05,-96.9,50.095,,,
247,4,-31.5,18.15,-13.2,914.609,,,
248,4,-6.3,18.15,-13.2,780.057,,,
249,56,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
250,1,6.3,6.05,-187.3,112.643,,,
251,2,-6.3,-6.05,-134.8,324.698,,,
252,3,-6.3,-6.05,-96.9,488.732,,,
253,4,-31.5,-6.05,-13.2,866.836,,,
254,57,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
255,1,6.3,6.05,-187.3,11.401,,,
256,2,6.3,6.05,-134.8,302.676,,,
257,3,6.3,6.05,-96.9,447.637,,,
258,4,6.3,6.05,-13.2,755.409,,,
259,58,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
260,1,6.3,6.05,-187.3,106.858,,,
261,2,-6.3,6.05,-134.8,291.592,,,
262,4,31.5,-42.35,-13.2,104.158,,,
263,59,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
264,1,6.3,6.05,-187.3,116.077,,,
265,2,-6.3,6.05,-134.8,292.215,,,
266,3,-6.3,-6.05,-96.9,429.898,,,
267,4,6.3,-6.05,-13.2,725.255,,,
268,60,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
269,1,6.3,6.05,-187.3,104.668,,,
270,2,6.3,6.05,-134.8,287.327,,,
271,3,6.3,-6.05,-96.9,430.896,,,
272,61,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
273,1,6.3,6.05,-187.3,11.474,,,
274,2,-6.3,-6.05,-134.8,31.063,,,
275,3,-6.3,-6.05,-96.9,459.939,,,
276,62,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
277,1,6.3,6.05,-187.3,110.254,,,
278,2,-6.3,6.05,-134.8,295.735,,,
279,3,-6.3,6.05,-96.9,431.207,,,
280,4,-6.3,30.25,-13.2,87.861,,,
281,4,6.3,18.15,-13.2,802.758,,,
282,63,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
283,1,6.3,6.05,-187.3,115.734,,,
284,3,18.9,-6.05,-96.9,497.053,,,
