Hit_Id;Event_Number;Ini_E[MeV];Ini_Theta;Ini_Phi;Number_of_hits;Plane_h;X_h[cm];Y_h[cm];Z_h[cm];Time_h[ns]
1286;2041.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;323.359
1287;2041.0;56.0;0.0;0.0;4.0;3.0;18.9;6.05;96.9;564.213
1288;2041.0;56.0;0.0;0.0;4.0;4.0;44.1;-6.05;13.2;944.023
1289;2042.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;115.058
1290;2042.0;56.0;0.0;0.0;3.0;2.0;-6.3;6.05;134.8;365.341
1291;2042.0;56.0;0.0;0.0;3.0;3.0;-6.3;18.15;96.9;552.063
1292;2043.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;11.723
1293;2043.0;56.0;0.0;0.0;3.0;3.0;-6.3;6.05;96.9;457.071
1294;2043.0;56.0;0.0;0.0;3.0;4.0;-18.9;-6.05;13.2;807.256
1295;2044.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;108.576
1296;2044.0;56.0;0.0;0.0;4.0;2.0;6.3;18.15;134.8;366.665
1297;2044.0;56.0;0.0;0.0;4.0;3.0;-6.3;18.15;96.9;524.733
1298;2044.0;56.0;0.0;0.0;4.0;4.0;-18.9;18.15;13.2;84.174
1299;2045.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;117.856
1300;2045.0;56.0;0.0;0.0;3.0;2.0;-6.3;6.05;134.8;308.854
1301;2045.0;56.0;0.0;0.0;3.0;4.0;-6.3;-18.15;13.2;801.661
1302;2046.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;111.585
1303;2046.0;56.0;0.0;0.0;3.0;2.0;6.3;-6.05;134.8;294.256
1304;2046.0;56.0;0.0;0.0;3.0;3.0;-6.3;-6.05;96.9;447.247
1305;2047.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;118.024
